temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
45.34764,99.55771,100.44633,99.50285,0.009315009,1.1100000000000001e-21,0.000808433,0.000396704,3.96e-05,0.001244756,-0.006738838,0.000113902,2.27e-211,3.44e-05,7.700000000000001e-71,0.000148351,-0.007335661650763825,1.6382914357464802e-49,0.0024763970802400585,0.0010690264894398893,3.497573725599151e-05,0.0035803993069359395
46.30256,99.55284,100.45112,99.51622,-0.003152199,1.78e-21,0.000822249,0.000402471,4.02e-05,0.001264876,-0.003749012,0.000120898,6.82e-224,3.5e-05,2.89e-70,0.000155882,-0.014399191530308997,4.5982350878112885e-49,0.002508932875324684,0.001081502348109279,3.5408498616794585e-05,0.003625843722050758
47.25747,99.56373,100.45349,99.53035,-0.011341324,2.83e-21,0.000836339,0.000408335,4.07e-05,0.001285375,-0.002125847,0.000128293,8.88e-237,3.55e-05,1.0799999999999999e-69,0.000163823,-0.0010107055242940532,1.2843233021953285e-48,0.0025419681479722446,0.0010941474951679166,3.584741278810744e-05,0.003671963055928269
48.21239,99.5745,100.45518,99.51815,-0.008440512,4.490000000000001e-21,0.000850709,0.000414298,4.13e-05,0.001306261,-0.006005815,0.000136108,5.02e-250,3.61e-05,4.02e-69,0.000172193,0.003523776963255898,3.5698508990697267e-48,0.002575512424485535,0.0011069648323118908,3.6292588394390533e-05,0.0037187698451918165
49.1673,99.57985,100.46496,99.52362,-0.002759438,7.12e-21,0.000865366,0.000420361,4.18e-05,0.001327544,-0.000848341,0.000144365,1.23e-263,3.67e-05,1.4899999999999996e-68,0.000181015,-0.006854001395737441,9.874361391159234e-48,0.0026095740137896404,0.0011199567743407327,3.6744117344240654e-05,0.0037662749054746137
50.12222,99.57977,100.4568,99.53124,-0.002371965,1.12e-20,0.000880316,0.000426527,4.24e-05,0.001349231,0.007466622,0.000153087,1.31e-277,3.72e-05,5.46e-68,0.000190312,-0.004345898495586198,2.7180687540519723e-47,0.002644162822086326,0.0011331263239971918,3.720211216697447e-05,0.0038144912582504923
51.07713,99.58438,100.4507,99.53192,0.001277537,1.77e-20,0.000895566,0.000432798,4.3e-05,0.001371332,0.000905897,0.000162297,6.0399999999999995e-292,3.78e-05,2e-67,0.000200108,0.0021938821150797594,7.445521598890169e-47,0.0026792875028953064,0.0011464759843360054,3.7666668216731664e-05,0.0038634301554480435
52.03205,99.57733,100.45507,99.52705,0.004476808,2.79e-20,0.000911123,0.000439176,4.36e-05,0.001393855,-0.003188751,0.00017202,1.21e-306,3.84e-05,7.259999999999999e-67,0.000210427,-0.004806814288869532,2.0296551406164957e-46,0.002714958359435818,0.0011600088631159968,3.813790208482387e-05,0.003913105124636639
52.98696,99.57583,100.45679,99.5411,-0.006330324,4.38e-20,0.000926994,0.000445662,4.42e-05,0.00141681,-0.003073559,0.000182283,1.05e-321,3.9e-05,2.63e-66,0.000221297,-0.00783322997580882,5.50595543694524e-46,0.0027511844057938294,0.001173727555236753,3.861591271394758e-05,0.0039635278737445295
53.94188,99.58942,100.46094,99.54201,-0.012278559,6.85e-20,0.000943186,0.000452259,4.48e-05,0.001440207,-0.005330328,0.000193112,0.0,3.96e-05,9.45e-66,0.000232744,0.004026588539524312,1.4863994034057202e-45,0.0027879763601858978,0.0011876352776164925,3.910082092155959e-05,0.00401471245872395
54.89679,99.59928,100.46697,99.53341,-0.00553981,1.07e-19,0.000959706,0.000458969,4.54e-05,0.001464054,-0.006566027,0.000204537,0.0,4.03e-05,3.38e-65,0.000244798,0.0012776815574540024,3.993205959728772e-45,0.002825343614056594,0.001201734720750684,3.959272938846077e-05,0.004066671064195739
55.85171,99.6,100.47348,99.53957,0.000670232,1.67e-19,0.000976562,0.000465794,4.6e-05,0.001488363,-0.00142939,0.000216586,0.0,4.09e-05,1.2e-64,0.000257487,-0.008157812025167743,1.0675795496286974e-44,0.00286329731950889,0.0012160292150426217,4.009176332975767e-05,0.00411941829788127
56.80662,99.598,100.4697,99.54899,0.008681332,2.59e-19,0.000993763,0.000472737,4.66e-05,0.001513143,0.003607655,0.00022929,0.0,4.16e-05,4.26e-64,0.000270844,-0.007450950229774378,2.8402867216114947e-44,0.0029018472630054255,0.0012305215505040716,4.059802932076209e-05,0.004172966842830259
57.76154,99.58342,100.46659,99.5538,0.006073743,4.02e-19,0.001011315,0.0004798,4.73e-05,0.001538406,0.002921723,0.000242682,0.0,4.22e-05,1.5e-63,0.0002849,-0.0013875198365056463,7.51997546804465e-44,0.0029410050503847836,0.0012452151755402555,4.111165715345246e-05,0.004227331883078491
58.71645,99.5864,100.46412,99.55164,-0.004262148,6.22e-19,0.001029228,0.000486984,4.79e-05,0.001564161,0.002167737,0.000256795,0.0,4.29e-05,5.24e-63,0.00029969,0.004612951404361354,1.9813176605018996e-43,0.0029807808817034903,0.0012601129837774313,4.163275746126236e-05,0.004282526622942185
59.67137,99.59156,100.46245,99.54499,-0.00949827,9.61e-19,0.001047509,0.000494294,4.86e-05,0.00159042,0.003654796,0.000271665,0.0,4.36e-05,1.8299999999999999e-62,0.000315249,0.004162644829392548,5.194982106613631e-43,0.003021186837398993,0.001275218546340159,4.216146480036381e-05,0.004338566848539516
60.62628,99.60454,100.45714,99.54369,-0.009697239,1.48e-18,0.001066168,0.00050173,4.93e-05,0.001617194,0.003581491,0.000287328,0.0,4.43e-05,6.3199999999999995e-62,0.000331613,-0.0019896707971582828,1.355493664723354e-42,0.0030622335506662124,0.0012905348647539948,4.269789403348847e-05,0.004395466309453695
61.5812,99.61008,100.45561,99.54879,-0.005010909,2.27e-18,0.001085213,0.000509296,5e-05,0.001644495,-0.001429478,0.000303822,0.0,4.5e-05,2.18e-61,0.000348821,-0.005618304011768771,3.519679693498632e-42,0.0031039335984760015,0.001306065637790626,4.324218467682641e-05,0.004453241420943454
62.53611,99.61411,100.45987,99.55442,-0.003162596,3.48e-18,0.001104653,0.000516994,5.07e-05,0.001672334,-0.001068193,0.000321186,0.0,4.57e-05,7.45e-61,0.000366913,-0.0018117223432838614,9.094782719125287e-42,0.003146298067730472,0.0013218139793556875,4.3794456001534344e-05,0.0045119065030876935
63.49103,99.61612,100.45765,99.55225,-0.002110136,5.33e-18,0.001124499,0.000524827,5.14e-05,0.001700725,0.00139802,0.000339463,0.0,4.65e-05,2.5399999999999997e-60,0.000385931,0.001471326755670077,2.3386955181502735e-41,0.0031893400550005216,0.0013377837210165188,4.435485268857023e-05,0.0045714786287056105
64.44594,99.61814,100.4572,99.55161,0.000539287,8.13e-18,0.001144759,0.000532797,5.21e-05,0.001729679,-0.000476472,0.000358695,0.0,4.72e-05,8.589999999999999e-60,0.000405918,0.0006545086810021417,5.984648089488028e-41,0.0032330711225475946,0.0013539780937454175,4.492349860499635e-05,0.004631972714898009
65.40086,99.61509,100.45856,99.551,0.003696669,1.24e-17,0.001165443,0.000540908,5.29e-05,0.001759209,-0.000853473,0.000378926,0.0,4.8e-05,2.8900000000000007e-59,0.000426918,0.0016912610280286344,1.5240375886536353e-40,0.0032775049108059954,0.0013704010672855786,4.55005438106637e-05,0.004693406521902237
66.35577,99.61108,100.45883,99.54838,0.002628523,1.88e-17,0.001186563,0.000549161,5.36e-05,0.00178933,0.000314158,0.000400204,0.0,4.88e-05,9.7e-59,0.000448979,0.002309110597337849,3.862214254861191e-40,0.003322653480194739,0.0013870559945787413,4.608611696480095e-05,0.004755795591738281
67.31069,99.61007,100.45796,99.54659,0.000523601,2.85e-17,0.001208127,0.000557561,5.44e-05,0.001820053,-0.000638817,0.000422576,0.0,4.96e-05,3.23e-58,0.00047215,0.005435076007337614,9.740228111432117e-40,0.003368531040540244,0.0014039469891673425,4.668037373012274e-05,0.004819158403437709
68.2656,99.61008,100.46005,99.538,0.000518365,4.3e-17,0.001230147,0.000566109,5.51e-05,0.001851394,-0.003262059,0.000446094,0.0,5.04e-05,1.07e-57,0.00049648,0.005796360924968269,2.444474781189937e-39,0.0034151501744302034,0.0014210775310925028,4.72834477635158e-05,0.004883511153286222
69.22052,99.60908,100.46419,99.53552,0.001057686,6.48e-17,0.001252634,0.000574809,5.59e-05,0.001883366,-0.004052714,0.000470809,0.0,5.12e-05,3.53e-57,0.000522024,-0.002125893120798139,6.105117568413309e-39,0.0034625256879501315,0.0014384518835746263,4.7895500564874064e-05,0.004948873072089632
70.17543,99.60806,100.46779,99.54206,-0.000994831,9.75e-17,0.0012756,0.000583664,5.67e-05,0.001915984,-0.001240975,0.000496775,0.0,5.21e-05,1.16e-56,0.000548834,-0.007220534060898842,1.5173515553752313e-38,0.0035106707111513744,0.0014560736591228483,4.8516671003939486e-05,0.005015261041278162
71.13035,99.61098,100.46656,99.54931,-0.012409579,1.46e-16,0.001299055,0.000592678,5.75e-05,0.001949264,-0.000848265,0.000524049,0.0,5.29e-05,3.7700000000000004e-56,0.000576968,-0.003743748412254888,3.752929358865001e-38,0.0035596006746613693,0.0014739472767824361,4.9147126662970804e-05,0.005082695078106776
72.08526,99.63176,100.46941,99.54921,-0.009608312,2.19e-16,0.001323013,0.000601852,5.84e-05,0.001983219,0.001486997,0.00055269,0.0,5.38e-05,1.22e-55,0.000606485,0.00263371578614624,9.237156921942347e-38,0.003609329282649502,0.0014920764871501064,4.97870118499705e-05,0.005151192781649579
73.04018,99.62933,100.46372,99.54428,0.002649452,3.27e-16,0.001347484,0.000611191,5.92e-05,0.002017868,0.00213104,0.000582758,0.0,5.47e-05,3.94e-55,0.000637446,0.003790898961376854,2.2625500871881534e-37,0.0036598726200662386,0.0015104658715245167,5.043650048617299e-05,0.0052207749920769285
73.99509,99.6267,100.46534,99.54197,-0.004523887,4.87e-16,0.001372483,0.000620698,6e-05,0.002053225,-0.002115367,0.000614317,0.0,5.56e-05,1.26e-54,0.000669914,0.0013718608171515712,5.514953858130355e-37,0.003711244993293214,0.0015291193244733527,5.1095742553983984e-05,0.00529146006032055
