temperature,rate_3,rate_10,rate_5,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
31.63192,99.99894,99.96317,100.07588,-8.377752876917357e-05,0.0001436581361683258,9.809598439187157e-17,0.0008932152179328928,5.781368860468493e-05,0.0010946870427060015,0.032589458692443715,0.0032606396872259563,7.506020495277066e-10,0.0003286780700533863,2.4266352352365507e-05,0.003613584860233758,-0.008095003717622755,0.00071872367136998,7.349603308238817e-13,0.001502366960028342,5.436638660532771e-05,0.0022754570187386103
32.58683,99.99902,99.9709,100.04476,-0.0008901231381912567,0.0001463444668929243,1.3602353351010826e-16,0.0009048639475723228,5.852353887943089e-05,0.001109731953344814,0.020054272215340063,0.0033064206486188396,8.722016227943628e-10,0.00033303858921595567,2.4566338667817275e-05,0.0036640264487042356,-0.00697969049935665,0.0007288538643251721,9.083226486523246e-13,0.0015187862100952802,5.4980448735892966e-05,0.002302620524064668
33.54175,100.00064,99.9765,100.03758,-0.0008272896626095871,0.00014908878979302684,1.883307099876515e-16,0.000916689376355091,5.924344874578991e-05,0.001125021614894096,0.006864478466958701,0.003352955943560757,1.0129059617962578e-09,0.0003374661357396992,2.4870588778930674e-05,0.003715293680985349,-0.005356492380251154,0.0007391507006504503,1.1216237221833082e-12,0.0015354150519167322,5.56025142349328e-05,0.0023301682679237393
34.49666,100.0006,99.98113,100.03165,0.0029635839660002716,0.00015189247124499007,2.6035717095945427e-16,0.0009286943216024414,5.997356507955699e-05,0.0011405603579272487,0.0035291379953719115,0.003400258911842873,1.175614939604006e-09,0.00034196179134932374,2.5179164938355624e-05,0.003767401043745492,-0.0006912045306819437,0.0007496171086048106,1.383831169160297e-12,0.0015522562054196718,5.623268852904792e-05,0.0023581060039373613
35.45158,99.99498,99.97782,100.03084,0.0006753982303848716,0.00015475703321188484,3.5938686375023684e-16,0.0009408821599468165,6.0714068063334925e-05,0.0011563532612223956,-0.007079247131350996,0.003448345167806784,1.3636601602549136e-09,0.0003465268479017863,2.5492143474720385e-05,0.0038203655228434504,-0.00546654867460461,0.0007602565186271872,1.7058852781539987e-12,0.0015693131425289681,5.6871105246744776e-05,0.0023864407681087854
36.40649,99.99931,99.99157,100.04517,-0.0013614109430122312,0.0001576839194996655,4.953317613980529e-16,0.000953255822755242,6.146511007036167e-05,0.0011724048523257646,-0.009665837701170688,0.0034972286441914166,1.5808510293669388e-09,0.0003511624312055536,2.5809588962356844e-05,0.003874202245210356,-0.009650123300659175,0.0007710719879423628,2.1010937047380615e-12,0.0015865886770527176,5.7517873454694726e-05,0.002415178540550869
37.36141,99.99758,99.99625,100.0493,-0.0016860505668176984,0.0001606747370685934,6.816703356165108e-16,0.000965818818694256,6.22268777701224e-05,0.0011887204335336533,-0.0005445114964359732,0.0035469256290575762,1.8315586150322867e-09,0.00035586988405067986,2.613158047050975e-05,0.003928928925137381,-0.003330122882104547,0.0007820670937109815,2.5856623078819248e-12,0.001604086394777824,5.817313118547019e-05,0.002444326622259938
38.31632,100.00253,99.99793,100.04621,0.0030420694423298755,0.00016373101204776708,9.366858298180865e-16,0.000978574198322111,6.299952926145263e-05,0.0012053047396322672,0.0004974551500964708,0.003597450677601408,2.120774243041983e-09,0.0003606503783283135,2.6458184991001382e-05,0.003984561361694966,-0.002707037299508386,0.0007932450284722159,3.1792675903599926e-12,0.0016218092069984012,5.8836991284923054e-05,0.002473891229934808
39.27124,99.99177,100.00142,100.04835,0.007644621528413609,0.00016685444171531198,1.2851615765349786e-15,0.0009915256081562181,6.378325796267582e-05,0.0012221633078354909,0.004147032856593569,0.0036488207844735873,2.4542179885635063e-09,0.0003655053100187195,2.6789484443786427e-05,0.004041118033154082,0.0032569067574286237,0.0008046095231893615,3.9058281947393905e-12,0.0016397608175841552,5.950959635255521e-05,0.0025038799410319
40.22615,99.98793,99.99171,100.03829,0.0017802866333269662,0.00017004663975938344,1.7606087878573738e-15,0.0010046762233483896,6.457822793681442e-05,0.0012393010910463481,0.0026181169732168996,0.003701051158466638,2.838412939602492e-09,0.00037043589919480636,2.712554833833466e-05,0.004098615444412719,0.004817238720576711,0.0008161639124111542,4.7943318600444074e-12,0.001657944239073083,6.0191063158358846e-05,0.002534299219436928
41.18107,99.98837,99.99222,100.04335,-0.003790948201235267,0.00017330939946660242,2.408309014767655e-15,0.0010180298343693036,6.538463962473414e-05,0.0012567238734630486,0.0003665840983586577,0.003754159535482897,3.2808251997046802e-09,0.00037544359739543546,2.746646156030492e-05,0.0041570728752638375,-0.0014608727142402245,0.0008279120883658256,5.879952472759941e-12,0.0016763632978132237,6.088153903831842e-05,0.00256515693109732
42.13598,99.99517,99.9945,100.03759,-0.001942635506630097,0.00017664442768879836,3.289295731144229e-15,0.0010315897466376673,6.620266330319045e-05,0.0012744368376329453,-0.0013403562371863131,0.0038081618107791734,3.789957672781894e-09,0.00038052967508003327,2.7812296241536297e-05,0.004216507572058416,0.0011728419752472519,0.0008398575346742631,7.205239974772179e-12,0.0016950211115044382,6.158114483764716e-05,0.002596459798221589
43.0909,99.99208,99.98998,100.04591,0.002707041686143441,0.00018005361981003176,4.485778563235471e-15,0.0010453599009809182,6.703250672162259e-05,0.0012924460275170583,0.00032996698858767104,0.0038630764980701294,4.375530273936039e-09,0.0003856956418317788,2.816314035352669e-05,0.004276939655785709,0.005440282191585766,0.0008520043126959404,8.821731664188347e-12,0.0017139216335513362,6.229003280535655e-05,0.002628215987874365
44.04581,99.99,99.98411,100.03696,0.0005602762334646627,0.00018353878184768028,6.108212237383107e-15,0.0010593437390439438,6.787434663157492e-05,0.0013107568675293072,0.004461181481651977,0.003918920213779121,5.048597934607669e-09,0.0003909428208128804,2.8519068759999057e-05,0.004338387151949935,0.0020316375338111925,0.0008643560625760848,1.0791657550297392e-11,0.0017330680909012303,6.300832801936398e-05,0.0026604324922883367
45.00073,99.99101,99.9861,100.03739,-0.001795979100712941,0.00018710191780123454,8.304903533633232e-15,0.001073545358731944,6.872839839003026e-05,0.0013293756749315137,-0.007864651977541826,0.003975712288007719,5.821781985519953e-09,0.00039627278226030154,2.888017264381884e-05,0.004400871064693825,-0.0028589013153350606,0.0008769170230999505,1.3190255841290332e-11,0.0017524645687846604,6.373618782556229e-05,0.0026931177929004294
45.95564,99.99343,99.98957,100.05198,-0.0010315211590210538,0.00019074493928372585,1.1274478357157099e-14,0.0010879683441770594,6.959484549646666e-05,0.0013483081289685265,-0.0029009113699203226,0.0040334700949949415,6.709418082280448e-09,0.0004016869044730057,2.9246529715138758e-05,0.004464410238601169,-0.005099915007392042,0.0008896909988025503,1.6108207273438486e-11,0.0017721144076574642,6.447374169875633e-05,0.0027262791642669783
46.91056,99.99298,99.99584,100.04293,-0.0025342884499295337,0.00019446996589043747,1.5282784683353482e-14,0.001102616957418159,7.047391122796598e-05,0.0013675608345518453,0.0029164212440093706,0.004092213821940286,7.727852544871876e-09,0.0004071868210817516,2.9618234499380173e-05,0.004529026605373962,-0.006916849676173342,0.0009026824146434396,1.9654949996301145e-11,0.001792021829545393,6.522115227321711e-05,0.002759925416117
47.86547,99.99827,100.00278,100.04641,-0.003675739349155549,0.000198279021722005,2.0684733837740762e-14,0.0011174949316542907,7.136578611778859e-05,0.001387139739514769,-0.003481987007603493,0.004151961639614657,8.89562707967724e-09,0.000412773968080499,2.9995367672957062e-05,0.004594739870995193,0.0008900461529108838,0.0009158952478513669,2.3962140550071568e-11,0.001812190292857634,6.597855359183196e-05,0.0027940641182629734
48.82039,100.0,99.99414,100.04958,-0.00018324533160551937,0.0002021743494484079,2.7953844041727305e-14,0.0011326067004672393,7.227070168993413e-05,0.0014070517516335352,-0.006141937473728376,0.00421273463529357,1.0233857359156682e-08,0.0004184500453715618,3.0378027240975514e-05,0.004661572941763465,0.005508306607886482,0.0009293341187901704,2.9188381594717406e-11,0.001832624161593674,6.674611377673943e-05,0.0028287044233489653
49.7753,99.99862,99.99226,100.05814,-0.00037697782368439903,0.00020615809304817245,3.772024959692446e-14,0.0011479561530390388,7.318885581064489e-05,0.0014273031019355763,0.00041355117684815923,0.004274551817191418,1.1766462785428561e-08,0.0004242165493333827,3.076629697149375e-05,0.00472954642995908,-0.001534131279520068,0.0009430031861516843,3.5524122682320154e-11,0.0018533270167533093,6.752397161744486e-05,0.002863854210046561
50.73022,100.00072,99.99707,100.04879,-0.0009005901201604161,0.0002102326262826855,5.0821996556369825e-14,0.0011635479022765222,7.41204885926374e-05,0.0014479010172026672,0.007199566539263458,0.004337435218044386,1.3520648922892906e-08,0.00043007524916297343,3.116027849266715e-05,0.004798684266348949,-0.0033981910549982786,0.0009569072754447682,4.319837752524816e-11,0.0018743033697071997,6.83123009318035e-05,0.0028995229892821487
51.68513,100.00034,99.99875,100.04439,0.0021781856997478144,0.00021440022093664114,6.837074620769405e-14,0.0011793860006160993,7.50658055483703e-05,0.0014688520271694814,0.0014713679899429621,0.004401404726754215,1.5527192127546296e-08,0.0004360277044513921,3.1560058795414923e-05,0.00486900801719315,0.0027593605848394986,0.0009710507360878443,5.248563541959738e-11,0.0018955569288846323,6.911124544215771e-05,0.00293571896290027
52.64005,99.99656,99.9918,100.04598,0.003597175023223542,0.00021866339045999562,9.184024808218236e-14,0.0011954752484653948,7.602505573681451e-05,0.0014901636947540452,-0.0041888809350183465,0.00446648336945778,1.7821052786100922e-08,0.0004420757568669809,3.1965743280854254e-05,0.004940542690658401,0.003932252128969083,0.0009854386090175245,6.371536919152272e-11,0.001917092358654077,6.99209848786751e-05,0.0029724520162656455
53.59496,99.99347,99.99124,100.05239,-0.0006387597358212815,0.0002230245429529819,1.231791557285428e-13,0.001211819869162006,7.699845264463447e-05,0.0015118428648828017,0.004188740343664676,0.004532691961466481,2.044172643661627e-08,0.0004482210321880283,3.2377422300112135e-05,0.005013310857681059,0.0035762032246182685,0.0010000754441671033,7.728174248747652e-11,0.001938913499924409,7.07416680908015e-05,0.003009730689464056
54.54988,99.99778,99.98497,100.03798,-0.006309480906722342,0.0002274863407781016,1.6496260841363041e-13,0.0012284248592057132,7.798625465112858e-05,0.0015338974547999058,0.0052412010596114555,0.004600054572972232,2.3434021338027907e-08,0.00045446544789293355,3.2795205184057096e-05,0.005087338660070561,0.005948166927694842,0.0010149665087590286,9.365701680565507e-11,0.001961025175928465,7.157348094676278e-05,0.003047565259291273
55.50479,100.00552,99.97988,100.04238,-0.005675923297523866,0.0002320513374884644,2.2058463981811051e-13,0.001245294620878801,7.89886835606744e-05,0.0015563346421485244,-0.0025185706497907745,0.004668592994053151,2.6848489737126403e-08,0.00046081069907666605,3.321918578781457e-05,0.005162649727407369,0.0014294874504798827,0.0010301165635873072,1.1340512980897643e-10,0.001983431365326162,7.24165776258014e-05,0.0030859646199444006
56.45971,100.00862,99.98224,100.04279,-0.0009895932439931698,0.0002367223542603184,2.945161558451541e-13,0.0012624343558035214,8.000600746434874e-05,0.0015791627178227045,0.001272382376740211,0.004738332392494428,3.074241135277713e-08,0.0004672587825376217,3.364947753601732e-05,0.005239271394979419,-0.0026389800931738705,0.001045531113629227,1.372005287088735e-10,0.0020061370563325136,7.327115036952591e-05,0.003124939457531795
