coefficient_1,coefficient_2,rmse
-1.5,-1.5,0.058844403856099584
-1.5,-1.469387755102041,0.057857753061327385
-1.5,-1.4387755102040816,0.056884066031190554
-1.5,-1.4081632653061225,0.055932886193364506
-1.5,-1.3775510204081634,0.05502327640560176
-1.5,-1.346938775510204,0.054163950789922054
-1.5,-1.316326530612245,0.05335809134480217
-1.5,-1.2857142857142858,0.05260516642521388
-1.5,-1.2551020408163265,0.051901680013741174
-1.5,-1.2244897959183674,0.05126502062917946
-1.5,-1.193877551020408,0.050707632638718574
-1.5,-1.163265306122449,0.050186295687272967
-1.5,-1.1326530612244898,0.04837832751555722
-1.5,-1.1020408163265305,0.04725304886632793
-1.5,-1.0714285714285714,0.04647685993350599
-1.5,-1.0408163265306123,0.04607337941542143
-1.5,-1.010204081632653,0.04605319619341711
-1.5,-0.9795918367346939,0.044077311218619464
-1.5,-0.9489795918367347,0.044573209423465834
-1.5,-0.9183673469387755,0.04556289883274762
-1.5,-0.8877551020408163,0.04701119359646051
-1.5,-0.8571428571428572,0.04887175789004147
-1.5,-0.826530612244898,0.05109256794464205
-1.5,-0.7959183673469388,0.053592332274091034
-1.5,-0.7653061224489797,0.05607101551529979
-1.5,-0.7346938775510204,0.05877662901825224
-1.5,-0.7040816326530612,0.061670052763520895
-1.5,-0.673469387755102,0.06471581924298642
-1.5,-0.6428571428571429,0.06788797591761375
-1.5,-0.6122448979591837,0.0711603242583569
-1.5,-0.5816326530612245,0.06574631776202881
-1.5,-0.5510204081632654,0.06711864058723493
-1.5,-0.5204081632653061,0.06849639947888778
-1.5,-0.48979591836734704,0.06988353229814512
-1.5,-0.4591836734693877,0.07128303772652918
-1.5,-0.4285714285714286,0.07269712660886095
-1.5,-0.3979591836734695,0.07412727099247196
-1.5,-0.36734693877551017,0.07557421726914919
-1.5,-0.33673469387755106,0.07703798525914278
-1.5,-0.30612244897959195,0.07851788078087649
-1.5,-0.2755102040816326,0.0800125221651044
-1.5,-0.24489795918367352,0.08151988757786686
-1.5,-0.2142857142857144,0.08303738481441948
-1.5,-0.18367346938775508,0.0845619422676032
-1.5,-0.15306122448979598,0.0860901149804098
-1.5,-0.12244897959183687,0.08761819735576837
-1.5,-0.09183673469387754,0.08914233918232652
-1.5,-0.061224489795918435,0.09065865792397443
-1.5,-0.03061224489795933,0.09216334015529207
-1.5,0.0,0.09365273491393881
-1.469387755102041,-1.5,0.0588444038127052
-1.469387755102041,-1.469387755102041,0.05785775304233416
-1.469387755102041,-1.4387755102040816,0.056884066031318174
-1.469387755102041,-1.4081632653061225,0.055932886193364416
-1.469387755102041,-1.3775510204081634,0.05502327640560034
-1.469387755102041,-1.346938775510204,0.054163950789921596
-1.469387755102041,-1.316326530612245,0.05335809134480147
-1.469387755102041,-1.2857142857142858,0.0526051664252133
-1.469387755102041,-1.2551020408163265,0.05190168001373981
-1.469387755102041,-1.2244897959183674,0.05126502062917994
-1.469387755102041,-1.193877551020408,0.05070763263871647
-1.469387755102041,-1.163265306122449,0.05018629568728
-1.469387755102041,-1.1326530612244898,0.04837832750841121
-1.469387755102041,-1.1020408163265305,0.047253048866484564
-1.469387755102041,-1.0714285714285714,0.04647685993341445
-1.469387755102041,-1.0408163265306123,0.04607337941526339
-1.469387755102041,-1.010204081632653,0.04589179718534531
