temperature,rate_3,rate_10,rate_5
183.4634,99.35734,99.72923,99.6297
184.41832,99.31524,99.72296,99.59922
185.37323,99.26532,99.71365,99.57051
186.32815,99.22165,99.70486,99.54109
187.28306,99.1715,99.69651,99.51103
188.23798,99.1176,99.68268,99.47681
189.19289,99.05285,99.6668,99.45144
190.14781,98.99116,99.65636,99.41052
191.10272,98.92224,99.6392,99.36746
192.05764,98.86336,99.62543,99.324
193.01255,98.79092,99.61799,99.28342
193.96747,98.71736,99.60457,99.23866
194.92238,98.64732,99.5912,99.184
195.8773,98.57631,99.57501,99.13828
196.83221,98.48776,99.55629,99.08306
197.78713,98.40034,99.53481,99.03024
198.74204,98.29847,99.51016,98.97061
199.69696,98.20437,99.4926,98.9156
200.65187,98.08709,99.46486,98.84653
201.60679,97.98224,99.43587,98.7773
202.5617,97.85366,99.40589,98.69852
203.51662,97.73303,99.37113,98.61413
204.47153,97.59609,99.32964,98.52096
205.42645,97.44305,99.28943,98.43417
206.38136,97.29857,99.25099,98.34164
207.33628,97.14105,99.20438,98.24559
208.29119,96.99694,99.15526,98.14864
209.24611,96.82824,99.10292,98.02772
210.20102,96.64434,99.04412,97.91364
211.15594,96.44455,98.9772,97.78671
212.11085,96.25683,98.91548,97.65353
213.06577,96.06238,98.85125,97.51885
214.02068,95.85526,98.79322,97.38011
214.9756,95.65537,98.738,97.23304
215.93051,95.43021,98.65711,97.07531
216.88543,95.19536,98.57245,96.91995
217.84034,94.96756,98.49105,96.76612
218.79526,94.72143,98.40384,96.59344
219.75017,94.47364,98.30921,96.43443
220.70509,94.21285,98.21062,96.25151
221.66,93.93031,98.06865,96.0614
222.61492,93.6486,97.96896,95.87053
223.56983,93.366,97.87083,95.65114
224.52475,93.08204,97.74547,95.44175
225.47966,92.77594,97.60825,95.23067
226.43458,92.44933,97.47747,94.98345
227.38949,92.17373,97.33843,94.77458
228.34441,91.87962,97.19548,94.5176
229.29932,91.56279,97.06054,94.30417
